#{"t_start": 1751654834.767228, "env_id": "None"}
r,l,t
-287.5158,200,4.782045
-944.13446,200,4.782045
-383.34656,200,6.771639
-696.6902,200,6.771639
-844.73004,200,8.804795
-934.87,200,8.804795
-759.6271,200,10.949109
-656.60535,200,10.949109
-610.8505,200,13.488265
-540.9886,200,13.488265
-634.18585,200,16.537375
-552.55756,200,16.537375
-689.35223,200,19.350406
-736.0236,200,19.350406
-688.34045,200,21.931603
-737.389,200,21.931603
-590.95575,200,25.10236
-651.1247,200,25.10236
-314.55826,200,28.213877
-425.85,200,28.213877
-416.1734,200,31.020764
-413.84067,200,31.020764
-211.27586,200,33.899977
-93.59768,200,33.900978
-302.34903,200,36.737177
-199.4534,200,36.737177
-213.43565,200,39.612578
84.48362,200,39.612578
303.67648,200,41.588171
112.49387,200,41.588171
397.62296,200,43.640615
201.35402,200,43.640615
191.38806,200,45.790736
300.4466,200,45.790736
198.61101,200,47.888807
303.74298,200,47.888807
398.02658,200,49.948319
297.84598,200,49.948319
195.07977,200,52.191018
204.96326,200,52.191018
305.73953,200,54.612287
396.9227,200,54.612287
