#{"t_start": 1751549035.5013733, "env_id": "None"}
r,l,t
31.312565,120,0.707436
30.518986,122,0.720439
31.278461,124,0.72762
22.919922,124,0.72762
28.830185,124,0.72762
13.607668,130,0.753618
-137.55061,200,1.02667
-137.67796,200,1.02667
34.34927,114,1.194735
12.535844,125,1.198735
18.879547,126,1.209735
37.270237,124,1.209735
12.656361,125,1.212735
11.805702,125,1.212735
34.135365,114,1.469282
33.71571,115,1.475283
33.84627,115,1.671954
34.243954,114,1.690393
32.48801,117,1.699418
18.497574,124,1.713394
33.003338,116,1.953325
20.97649,125,1.99429
-137.73036,200,2.028291
-137.631,200,2.031353
30.878635,121,2.154676
31.727749,119,2.163673
13.915976,127,2.202769
9.145008,125,2.212795
33.74043,115,2.426553
34.444775,114,2.478702
21.762268,124,2.49262
28.837875,124,2.537697
31.318874,120,2.656993
12.552165,125,2.6682
18.522678,124,2.705183
24.685303,124,2.713184
11.443411,127,2.958138
22.918495,124,3.015249
18.02412,127,3.064857
34.348278,114,3.148965
23.012993,125,3.17711
33.199993,116,3.192129
30.546589,122,3.221478
-137.71172,200,3.303612
30.878979,121,3.433067
31.610943,119,3.479958
32.191654,118,3.517009
28.832241,124,3.655151
18.981808,124,3.674151
33.203365,116,3.674151
34.388584,114,3.753623
31.21442,120,3.898302
-137.73274,200,3.924284
31.626057,119,3.952326
